id,osm_id,source,target,length,foot,car_forward,car_backward,bike_forward,bike_backward,train,wkt
144555438-0,144555438,1581005833,1581005892,0.9000990914977478,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8841914 52.3773030, 4.8842037 52.3773060)"
144555438-1,144555438,1581005892,1581005885,37.80254287645221,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8842037 52.3773060, 4.8842733 52.3773225, 4.8844464 52.3773635, 4.8844721 52.3773232, 4.8843374 52.3772913, 4.8843304 52.3773023, 4.8842733 52.3772887)"
144555438-2,144555438,1581005885,1581005833,8.10842796868029,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8842733 52.3772887, 4.8842101 52.3772737, 4.8841914 52.3773030)"
144555439-0,144555439,1581005894,2720895865,1.3647567161666625,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8840374 52.3773174, 4.8840439 52.3773058)"
144555440-0,144555440,1581005883,2720895838,3.0874820052951173,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8839061 52.3772908, 4.8839494 52.3772992)"
144555441-0,144555441,1581005840,2720895258,3.2847647420398802,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8843848 52.3771003, 4.8843653 52.3771273)"
144555442-0,144555442,1581005835,1581005872,23.12785327420473,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8841045 52.3771490, 4.8841623 52.3771620, 4.8840761 52.3773046, 4.8840482 52.3772983)"
144555442-1,144555442,1581005872,1581005835,19.08482559936335,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8840482 52.3772983, 4.8840183 52.3772916, 4.8841045 52.3771490)"
144569050-0,144569050,1581150271,1581152679,38.96786849559553,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8802230 52.3755251, 4.8802781 52.3754300, 4.8804331 52.3754634, 4.8803780 52.3755586, 4.8803041 52.3755426)"
144569050-1,144569050,1581152679,1581150271,5.8455755638930595,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8803041 52.3755426, 4.8802230 52.3755251)"
144569162-0,144569162,1581152680,2720979366,3.2497181258697827,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8802518 52.3756308, 4.8802683 52.3756034)"
144571106-0,144571106,1581163165,1581163157,9.275396933665519,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8872664 52.3786113, 4.8872043 52.3785371)"
144571106-1,144571106,1581163157,1581163165,57.2162744195034,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8872043 52.3785371, 4.8871879 52.3785174, 4.8874698 52.3784295, 4.8875483 52.3785234, 4.8872664 52.3786113)"
144571112-0,144571112,1581163153,2721367489,5.838664405140021,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8869718 52.3786170, 4.8870467 52.3785913)"
144983198-0,144983198,10799454692,1584561571,13.019555446679245,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8816574 52.3788423, 4.8817062 52.3787292)"
144985631-0,144985631,2050206922,2721366419,5.750477164913001,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8866300 52.3782495, 4.8867045 52.3782250)"
144985632-0,144985632,1584570922,1584570923,62.04357916819597,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8869572 52.3781498, 4.8871686 52.3780780, 4.8870616 52.3779605, 4.8869397 52.3780019, 4.8870240 52.3780945, 4.8869345 52.3781249, 4.8869517 52.3781438)"
144985632-1,144985632,1584570923,1584570922,0.7653730318415944,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8869517 52.3781438, 4.8869572 52.3781498)"
146068307-0,146068307,46373762,1069444630,17.72917575844755,Allowed,Tertiary,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(4.8921029 52.3690518, 4.8921091 52.3690890, 4.8921205 52.3691257, 4.8921527 52.3692079)"
146834048-0,146834048,1291468004,2021897145,2.09398491633894,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.9050933 52.3679622, 4.9051095 52.3679782)"
146834048-1,146834048,2021897145,4482759757,2.5931842594198993,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.9051095 52.3679782, 4.9051296 52.3679980)"
146834048-2,146834048,4482759757,1600654627,4.01848463487176,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.9051296 52.3679980, 4.9051560 52.3680303)"
